WISEID,Answer,KIScore
118296,"If the heat can't get out of the green glass, the atmosphere acts like the glass, because the picture shows that the sunlight can come into the atmosphere, but can't get out. 

Katie",5
118300,Because they look simalair.,2
118302,It is the Earth because a green house keeps the energy for the for escaping the the green house and the Earth keeps the air from escaping the Earth so it like a green house.,3
118310,i think the atmosphere because the is make the sun not escape the earth.,3
118304,"The heat from the sun gets trapped inside and when it tries to escape, it just bounces off.",2
118313,Earth also absorbs sunlight and the atmosphere keeps it from leaving.,4
118319,because the atmosphere serves as a window for earth it is the same thing but bigger.,3
118297,the earth because it is reflecting sun light.,3
118298,Because the sun passes through the atmosphere to earth just like the sun passing through the glass.,2
118311,because the atmosphere gathers gases and in the green house the glass is letting in heat.,2
118305,it is the earth because  picture b show that the earth has a glass that the green house is showing.,2
118293,The atmosphere acts like the glass because it lets the sun light go in but the sunlight can't get out.,4
118299,Well the sun is mostly going to be heating glass because it reflects to light so its most common for the sun to hit glass,2
118309,because in the picture i see that the earth is trapping the heat,2
118307,Because the atmosphere is what gives us gravity.,2
118306,i think that the sun will act like the grass and will provide nuterians for the plants ,2
118308,Because you need water for a green house and earth has lots of lakes and oceans,2
118321,The sun because of its reflection.,2
118312,I think space because things go through space like the glass of the greenhouse.,2
118318,"the sun shines on earth and it get big and closer every year,That is why every year 
it gets really hot when is is hot the homes of people are heated up and it is really hot. If there is a window on the roof the i will get even more hot because the sun shines an goes in even if there is a window.",2
118303,The sun came in the atmosphere and the heat from the earth is trapped in the earth's atmosphere.  ,3
118314,yes the windows,2
118301,I think it is the atmosphere because the sun shines through the glass and the atmosphere.,2
118316,it shows the sun because it shows the sun shining in different places.,2
118320,The sun because there was heat flares coming up through the windows of the greenhouse.,2
118294,0,1
118315,globle warming is when heat can not escape our atmosphere making our earth hot almost like a green house but instead of a atmosphere we have a glass for the heating ,3
118323,On picture (a) it shows you how the glas keeps the heat in well it works the same way with the earth.,3
118482,0,1
118478,Green house gas collects up in the atmosphere and creates the glodel warming,2
118479,earth because there is no windows in other planets,2
118480,It is like the atmosphere because its becoming really hot when the sun reflects on it and then it gets through to the earth.,2
118473,because the sun is heating the plants ,2
118474,hclbjmdbkgvmtihbkvjtyue8oorhygtfjmiuk,1
118483,0,1
118470,The sun passes through the atmosphere onto the earth's surface.,2
118472,0,1
118468,The atmosphere makes it so the heat cannot escape and it makes it so it deflects the heat so it 'bounces' back to the Earth.,3
118475,It contains the warmth and rebounds the contained energy.,2
118477,I chose earth because the sun is obviously hitting earth which is what is happening in the green house its just hitting the inside because of the mirrors on the roof.,2
118465,"The glass and the atmosphere both let light and heat in.





",3
118487,in the picture the sun is not going through the atmosphere and the sun is not going through the glass of the green house,2
118488,?,1
118486,I chose that because its like the greenhouse it goes in it and it can't escape.,2
118484,0,1
118485,0,1
118490,the atmosphere because in the picture above it shows  that the reflection of the sun goes in the atmosphere and reflects back down,2
118467,The sun is like the grass of the greenhouse because the sun can go anywhere in the house.,2
118471,The atmosphere is keeping heat and energy from escaping to space.,3
118469,0,1
118466,"in the picture the sun goes through the glass, the sun also goes through the atmosphere.",2
118543,the atmosphere looks like it has glass,2
118515,it might be ,1
118517,"Earth because the sun hits the earth and dosn't escape after it hits the earth.
",2
118533,"because the long chain molecules like carbon dioxide, and methanes reflect the ultra violet light back at earth which traps the heat in our atmosphere",2
118518,"The atmostsphere is what is keeping the air in and the space out, and a green house does the same thing.",2
118548,I think the sun is like the glass in the greenhouse because the sun can reflect of the glass in the greenhouse and it can reflect on the earth.,2
118522,the atmosphere because it makes it bounce back,2
118562,the sun is shining on it,2
118526,I know this because the sun light is hitting the earth.,3
118567,"the atmosphere is like the glass because the heat can go in, but not out.",2
118516,I think that it is atmosphere because it is like glass you can not go through it by your self. ,2
118521,0,1
118520,"Because it's going into the atmosphere,then Earth.",2
118514,"The atmosphere acts as the glass in the greenhouse, it allows heat to come in and lets less out.",2
118512,Both pictures the sunlight goes through the glass or atmosphere.,3
118509,Earth is like the greenhouse so the glass would be next.,2
118534,the sun reflects green but its not noticeable for the air.,2
118519, the sun  because in picture b it shows  the sun is shinning hard at the earth.,2
118511,I think this answer because the way the heat is bouncing of the earth looks like the glass from the greenhouse.,2
118542,the sun because the sun goes through the glass and shine light on the plants.,3
118537,I think that it is the sun because it allows it to get sunlight to grow.,2
118529,I think that is the atmosphere because it is like a layer that can reflect the sunlight to shine on earth.,3
118536,"like the glass, the picture shows that the atmosphere doesn't let any light go back into the surroundings.",3
118523,well becuse earth is getting heated up also,2
118530,"the sun because it is like a glass to the greenhouse, sun is energy and plants need energy to live and water too.So the greenhouse resives sunlight from the sun.",3
118510,The atmosphere doesn't let heat out into space like how the glass doesn't let heat out of the greenhouse.,3
118513,the atmosphere separates space and earth.,2
118556,The atmosphere because the glass keeps the heat in and the atmosphere stays into the earth.,3
118549,i think that it is the atmosphere because because it keeps the heat from escaping earth,3
118607,the atmosphere will let heat and light in but will not let it come out.,3
118622,0,1
118604,the atmose phere is closer than spase an also spae is dosent stop any thing,2
118614,i chose this answer because the sun is hot,2
118628,"The atmosphere allows the hot sun to hit a heat ray and warm the earth up, just like the glass allows the heat ray to shine on the plants so they can grow.",2
118632,0,1
118602,"
?????????????
",1
118600,It keeps the stuff inside.,2
118623,I picked earth because it is the space that contains the gas and space and the atmosphere doesn't contain it.,2
118613,because the sun beams through,2
118610,the sun's heat goes to earth then hit the earth but before that could happen it goes through the atmosphere.,2
118618,I chose the atmosphere because the glass and atmosphere lets hot air in and out but has the cold air stay in. ,2
118626,0,1
118621,0,1
118611,0,1
118606,its the part that the sun passes through,2
118620,because the atsmosphere block it.,2
118616,0,1
118601,The atmosphere surrounds the Earth so I thought this was a reasonable answer.,2
118615,Plants water and sun for it to grow.,2
118624,0,1
118634,0,1
118609,i cant,1
118612,the sun is reflexting the sun like the green house ,2
118947,0,1
118344,because it is the atmosphere cause after the at atmosphere is the space and out of the green house is the air,2
118337,0,1
118358,Because heat can not escape the Earth.,2
118350,"The atmosphere lets in the sunlight but then when the sunlight hits the Earth, the Earth obsorbs some of i's energy. Since the Earth absorbed some of the sunlight's energy it didn't have enough energy to push it's way back out of the atmosphere so it just go back down to Earth and heats the Earth just like a green house.",3
118353,because the atmosphere is the top of something.,2
118346,"Because the sun is in the space,so the space cannot be the glass of the greenhouse,the atmosphere is close to the earth so it could be the glass.",2
118366,the atmosphere is a barrier that solar radiation bounces oof of,3
118352,The atmosphere is like the glass of the greenhouse because it keeps the heat in while keeping the radiation out.,3
118355,The atmostphere lets it stay in but everything else wants it out.,2
118338,The sun is reflecting off the glass which makes It bright like the sun.,2
118348,The sun because it is hot.,2
118349,the sun is beating down on the green glass.,2
118354,the sun reflects to the green house.,2
118351,The sun will keep the warmth inside of the greenhouse and move coldness away.,2
118361,0,1
118345,earth is like grass because it is the next lowest thing.,2
118341,"The heat that enters the greenhouse is trapped inside, just as the Earth's atmosphere traps in the suns rays.",4
118367,because the sun is hoter than space and the earth,2
118343,"I chose the atmosphere because it says the sun passes through the glass panels and heats the inside. Just like how in a car, on a hot day, the sun passes through the glass windows and heats the car.",3
118357,because the atmosphere capes the gravide in to the earth and the green house capes the heat in the green house.,2
118369,The atmosphere is surrounding the sun like in the picture.,2
118339,The dotted lines are the atmosphere and it has the same qualities as the windows.,2
118372,beacouse the arow is poninting of of the earth not the atmosspere.,2
118360,the atmosphere holds everything else onto earth so it could hold heat onto earth with its gravitational pull.,2
118356,I am not sure,1
118347,Air gets trapped inside but it can no escape like the greenhouse.,2
118371,Space is like the glass of the green house because the sunlight goes to space,3
118368,its glass,2
118364,the atmosphere takes the heat to keep the earth warm,2
